Country, CountryCode, Population, PopDensity, PhysiciansPerCap, Sanitation, SocialStability, BirthRate, DeathRate, HealthSpendPerCap
"Afghanistan",AFG, 33332025, 51.1047099949404, 0.0003, 0.319, 0.406708740992863, 0.000287483580409082, 0.000102833552261212, 157.642987487259
"Angola",AGO, 20172332, 16.1805823373707, 0.00014, 0.516, 0.545674353438019, 0.000289735410020642, 8.48189153687371E-05, 309.185869040823
"Australia",AUS, 22992654, 2.99293883342228, 0.00337, 1, 0.905538513813742, 9.08237943328955E-05, 5.40439106774254E-05, 4860.94384754365
"Bangladesh",BGD, 156186882, 1199.86849504494, 0.00039, 0.606, 0.607546294532359, 0.000142615875398761, 3.97823231375493E-05, 112.65478748721
"Belgium",BEL, 11409077, 376.810786709822, 0.00297, 0.995, 0.905538513813742, 8.55695252392569E-05, 7.28091574404203E-05, 4725.32528266748
"Brazil",BRA, 205823665, 24.625534508874, 0.00185, 0.828, 0.961119399450453, 0.000107337211484331, 4.95402514543066E-05, 1242.43730671106
"Cambodia",KHM, 15957223, 90.4015126193241, 0.00017, 0.424, 0.596483025743399, 0.000175642709701633, 5.70463501595046E-05, 210.536632846455
"China",CHN, 1373541278, 147.274382961933, 0.00149, 0.765, 0.981655998810174, 9.30756239444549E-05, 5.77969600300244E-05, 846.498040228537
"France",FRA, 66836154, 121.526908740477, 0.00323, 0.987, 0.905538513813742, 9.23250140739351E-05, 6.98067179583412E-05, 4643.96859220834
"Germany",DEU, 80722792, 231.514982562408, 0.00413, 0.992, 0.905538513813742, 6.38018389941828E-05, 8.70707449802965E-05, 5570.0129896399
"Greenland",GRL, 57728, 0.0266508347314003, 0.00173, 1, 0.905538513813742, 0.000108087821354851, 6.45524488647026E-05, 1882102.27272727
"Hong Kong",HKG, 7167403, 6679.77912395154, 0.00178, 0.15, 0.905538513813742, 6.83054982173016E-05, 5.40439106774254E-05, 2981554.12776427
"India",IND, 1266883598, 426.102038448227, 0.00073, 0.396, 0.752011967989872, 0.000144867705010321, 5.47945205479452E-05, 323.539590098948
"Korea, North",PRK, 25115311, 208.585069098399, 0.00278, 0.819, 0.73824115301167, 0.00010958904109589, 6.98067179583412E-05, 79632.6989540364
"Korea, South",KOR, 50924172, 525.424803962031, 0.00223, 1, 0.905538513813742, 6.3051229123663E-05, 4.35353724901482E-05, 2810.37460952728
"Namibia",NAM, 2436469, 2.95942984853454, 0.00037, 0.344, 0.621755981072961, 0.000209420153875023, 6.07993995121036E-05, 949.369764195646
"Nepal",NPL, 29033914, 202.537226806928, 0.001571145, 0.458, 0.702111458388196, 0.00014937136423344, 4.27847626196285E-05, 142.872917512947
"Pakistan",PAK, 201995540, 262.034104102481, 0.00081, 0.635, 0.658840268957507, 0.000167386001125915, 4.8039031713267E-05, 127.196867812032
"United States",USA, 323995528, 35.4186645601745, 0.00255, 1, 0.905538513813742, 9.38262338149747E-05, 6.15500093826234E-05, 9795.69076027494
"Uruguay",URY, 3351016, 19.1470216838557, 0.00394, 0.964, 0.98951023238772, 9.75792831675737E-05, 7.0557327828861E-05, 1879.87762517398
